date | value
2011-01-01 | 1
2011-01-02 | 2
2011-01-03 | 5
2011-01-04 | 10
2011-01-05 | 3
2011-01-06 | 7
2011-01-07 | 4
2011-01-08 | 8
2011-01-09 | 6
2011-01-10 | 12
2011-01-11 | 15
2011-01-12 | 20
2011-01-13 | 25
2011-01-14 | 30
2011-01-15 | 35
2011-01-16 | 40
2011-01-17 | 45
2011-01-18 | 50
2011-01-19 | 55
2011-01-20 | 60
2011-01-21 | 65
2011-01-22 | 70
2011-01-23 | 75
2011-01-24 | 80
2011-01-25 | 85
2011-01-26 | 90
2011-01-27 | 95
2011-01-28 | 100
2011-01-29 | 150
2011-01-30 | 200
2011-01-31 | 250
2011-02-01 | 300
2011-02-02 | 350
2011-02-03 | 400
2011-02-04 | 450
2011-02-05 | 500
2011-02-06 | 550
2011-02-07 | 600
2011-02-08 | 650
2011-02-09 | 700
2011-02-10 | 750
2011-02-11 | 800
2011-02-12 | 850
2011-02-13 | 900
2011-02-14 | 950
2011-02-15 | 1000
2011-02-16 | 1001
2011-02-17 | 1500
2011-02-18 | 2000
2011-02-19 | -1
2011-02-20 | -100
2011-02-21 | 0
2011-02-22 | 0.5
2011-02-23 | 1.5
2011-02-24 | 2.5
2011-02-25 | 10.75
2011-02-26 | 25.50
2011-02-27 | 100.25
2011-02-28 | 999.99
2011-03-01 | 1000
2011-03-02 | 1000.01
2011-03-03 | 42
2011-03-04 | 73
2011-03-05 | 128
2011-03-06 | 256
2011-03-07 | 512
2011-03-08 | 999
2011-03-09 | 100
2011-03-10 | 50
2011-03-11 | 25
2011-03-12 | 12
2011-03-13 | 6
2011-03-14 | 3
2011-03-15 | 1
2011-03-16 | 2
2011-03-17 | 4
2011-03-18 | 8
2011-03-19 | 16
2011-03-20 | 32
2011-03-21 | 64
2011-03-22 | 128
2011-03-23 | 256
2011-03-24 | 512
2011-03-25 | 1024
2011-03-26 | 2048
2011-03-27 | 4096
2011-03-28 | 8192
2011-03-29 | 16384
2011-03-30 | 32768
2011-03-31 | 65536
2011-04-01 | 123
2011-04-02 | 456
2011-04-03 | 789
2011-04-04 | 321
2011-04-05 | 654
2011-04-06 | 987
2011-04-07 | 111
2011-04-08 | 222
2011-04-09 | 333
2011-04-10 | 444
2011-04-11 | 555
2011-04-12 | 666
2011-04-13 | 777
2011-04-14 | 888
2011-04-15 | 999
2011-04-16 | 1
2011-04-17 | 11
2011-04-18 | 111
2011-04-19 | 1111
2011-04-20 | 999.9
2011-04-21 | 500
2011-04-22 | 250
2011-04-23 | 125
2011-04-24 | 62.5
2011-04-25 | 31.25
2011-04-26 | 15.75
2011-04-27 | 7.75
2011-04-28 | 3.75
2011-04-29 | 1.75
2011-04-30 | 0.75
2011-05-01 | 5
2011-05-02 | 10
2011-05-03 | 20
2011-05-04 | 40
2011-05-05 | 80
2011-05-06 | 160
2011-05-07 | 320
2011-05-08 | 640
2011-05-09 | 900
2011-05-10 | 999
2011-05-11 | 1000
2011-05-12 | 999.999
2011-05-13 | 0.001
2011-05-14 | 12.345
2011-05-15 | 67.89
2011-05-16 | 123.456
2011-05-17 | 789.123
2011-05-18 | 500.5
2011-05-19 | 250.25
2011-05-20 | 125.125
2011-05-21 | 62.0625
2011-05-22 | 31.03125
2011-05-23 | 15
2011-05-24 | 30
2011-05-25 | 60
2011-05-26 | 120
2011-05-27 | 240
2011-05-28 | 480
2011-05-29 | 960
2011-05-30 | 999
2011-05-31 | 1000
2011-06-01 | 1
2011-06-02 | 2
2011-06-03 | 3
2011-06-04 | 4
2011-06-05 | 5
2011-06-06 | 6
2011-06-07 | 7
2011-06-08 | 8
2011-06-09 | 9
2011-06-10 | 10
2011-06-11 | 20
2011-06-12 | 30
2011-06-13 | 40
2011-06-14 | 50
2011-06-15 | 60
2011-06-16 | 70
2011-06-17 | 80
2011-06-18 | 90
2011-06-19 | 100
2011-06-20 | 200
2011-06-21 | 300
2011-06-22 | 400
2011-06-23 | 500
2011-06-24 | 600
2011-06-25 | 700
2011-06-26 | 800
2011-06-27 | 900
2011-06-28 | 999
2011-06-29 | 1000
2011-06-30 | 1001
2011-07-01 | 50
2011-07-02 | 100
2011-07-03 | 150
2011-07-04 | 200
2011-07-05 | 250
2011-07-06 | 300
2011-07-07 | 350
2011-07-08 | 400
2011-07-09 | 450
2011-07-10 | 500
2011-07-11 | 550
2011-07-12 | 600
2011-07-13 | 650
2011-07-14 | 700
2011-07-15 | 750
2011-07-16 | 800
2011-07-17 | 850
2011-07-18 | 900
2011-07-19 | 950
2011-07-20 | 999
2011-07-21 | 1000
2011-07-22 | 0
2011-07-23 | 0.01
2011-07-24 | 0.1
2011-07-25 | 1.1
2011-07-26 | 11.11
2011-07-27 | 111.11
2011-07-28 | 999.99
2011-07-29 | -5
2011-07-30 | 1001
2011-07-31 | 2000
2011-08-01 | 10
2011-08-02 | 20
2011-08-03 | 30
2011-08-04 | 40
2011-08-05 | 50
2011-08-06 | 60
2011-08-07 | 70
2011-08-08 | 80
2011-08-09 | 90
2011-08-10 | 100
2011-08-11 | 200
2011-08-12 | 300
2011-08-13 | 400
2011-08-14 | 500
2011-08-15 | 600
2011-08-16 | 700
2011-08-17 | 800
2011-08-18 | 900
2011-08-19 | 1000
2011-08-20 | 1001
2011-08-21 | -10
2011-08-22 | 12.5
2011-08-23 | 25.5
2011-08-24 | 50.5
2011-08-25 | 100.5
2011-08-26 | 200.5
2011-08-27 | 400.5
2011-08-28 | 800.5
2011-08-29 | 999.5
2011-08-30 | 1000
2011-08-31 | 1001
